datetime,training_steps,game_length,game_result,black_elo_rating,white_elo_rating
2025-02-07 23:41:24,1000,17,B+1.0,16.0,-15.263693206478006
2025-02-08 00:06:06,2000,19,B+1.0,32.0,0.7363067935219938
2025-02-08 00:27:18,3000,27,B+1.0,48.0,16.736306793521994
2025-02-08 00:46:30,4000,22,W+1.0,32.73630679352199,64.0
2025-02-08 01:03:40,5000,19,B+1.0,48.73630679352199,17.472613587043984
2025-02-08 01:19:46,6000,10,W+1.0,33.47261358704398,64.73630679352199
2025-02-08 01:34:23,7000,10,W+1.0,18.208920380565974,49.47261358704398
2025-02-08 01:48:30,8000,13,B+1.0,34.20892038056597,2.945227174087968
2025-02-08 02:02:07,9000,13,B+1.0,50.20892038056597,18.945227174087965
2025-02-08 02:13:15,10000,13,B+1.0,66.20892038056597,34.94522717408796
2025-02-08 02:23:20,11000,9,B+1.0,82.20892038056597,50.94522717408796
2025-02-08 02:32:57,12000,11,B+1.0,98.20892038056597,66.94522717408796
2025-02-08 02:41:34,13000,14,W+1.0,82.94522717408796,114.20892038056597
2025-02-08 02:49:09,14000,9,B+1.0,98.94522717408796,67.68153396760995
2025-02-08 02:57:15,15000,9,B+1.0,114.94522717408796,83.68153396760995
2025-02-08 03:05:50,16000,9,B+1.0,130.94522717408796,99.68153396760995
2025-02-08 03:12:26,17000,9,B+1.0,146.94522717408796,115.68153396760995
2025-02-08 03:20:32,18000,11,B+1.0,162.94522717408796,131.68153396760997
2025-02-08 03:27:39,19000,14,W+1.0,147.68153396760997,178.94522717408796
2025-02-08 03:34:45,20000,11,B+1.0,163.68153396760997,132.41784076113197
2025-02-08 03:41:21,21000,11,B+1.0,179.68153396760997,148.41784076113197
2025-02-08 03:48:28,22000,9,B+1.0,195.68153396760997,164.41784076113197
2025-02-08 03:55:35,23000,11,B+1.0,211.68153396760997,180.41784076113197
2025-02-08 04:02:41,24000,11,B+1.0,227.68153396760997,196.41784076113197
2025-02-08 04:09:49,25000,15,B+1.0,243.68153396760997,212.41784076113197
2025-02-08 04:16:55,26000,11,B+1.0,259.68153396761,228.41784076113197
2025-02-08 04:23:30,27000,9,B+1.0,275.68153396761,244.417840761132
2025-02-08 04:30:09,28000,18,W+1.0,260.41784076113197,291.68153396761
2025-02-08 04:36:45,29000,9,B+1.0,276.41784076113197,245.15414755465397
2025-02-08 04:43:22,30000,14,W+1.0,261.15414755465395,292.41784076113197
2025-02-08 04:49:58,31000,11,B+1.0,277.15414755465395,245.89045434817595
2025-02-08 04:56:34,32000,9,B+1.0,293.15414755465395,261.8904543481759
2025-02-08 05:03:09,33000,9,B+1.0,309.15414755465395,277.8904543481759
2025-02-08 05:09:49,34000,23,B+1.0,325.15414755465395,293.8904543481759
2025-02-08 05:16:31,35000,27,B+1.0,341.15414755465395,309.8904543481759
2025-02-08 05:23:08,36000,14,W+1.0,325.8904543481759,357.15414755465395
2025-02-08 05:29:45,37000,15,B+1.0,341.8904543481759,310.6267611416979
2025-02-08 05:36:25,38000,23,B+1.0,357.8904543481759,326.6267611416979
2025-02-08 05:43:36,39000,23,B+1.0,373.8904543481759,342.6267611416979
2025-02-08 05:50:22,40000,35,B+1.0,389.8904543481759,358.6267611416979
2025-02-08 05:56:59,41000,13,B+1.0,405.8904543481759,374.6267611416979
2025-02-08 06:04:07,42000,14,W+1.0,390.6267611416979,421.8904543481759
2025-02-08 06:11:22,43000,29,B+1.0,406.6267611416979,375.3630679352199
2025-02-08 06:18:40,44000,33,B+1.0,422.6267611416979,391.3630679352199
2025-02-08 06:25:56,45000,23,B+1.0,438.6267611416979,407.3630679352199
2025-02-08 06:33:29,46000,81,DRAW,438.6267611416979,438.6267611416979
2025-02-08 06:40:06,47000,13,B+1.0,454.6267611416979,423.3630679352199
2025-02-08 06:47:43,48000,14,W+1.0,439.3630679352199,470.6267611416979
2025-02-08 06:54:55,49000,30,W+1.0,424.09937472874185,455.3630679352199
2025-02-08 07:02:37,50000,27,B+1.0,440.09937472874185,408.8356815222638
2025-02-08 07:09:44,51000,13,B+1.0,456.09937472874185,424.8356815222638
2025-02-08 07:16:50,52000,11,B+1.0,472.09937472874185,440.8356815222638
2025-02-08 07:24:26,53000,11,B+1.0,488.09937472874185,456.8356815222638
2025-02-08 07:32:02,54000,11,B+1.0,504.09937472874185,472.8356815222638
2025-02-08 07:39:49,55000,29,B+1.0,520.0993747287419,488.8356815222638
2025-02-08 07:47:00,56000,25,B+1.0,536.0993747287419,504.8356815222638
2025-02-08 07:54:11,57000,24,W+1.0,520.8356815222638,552.0993747287419
2025-02-08 08:01:49,58000,17,B+1.0,536.8356815222638,505.5719883157858
2025-02-08 08:08:58,59000,19,B+1.0,552.8356815222638,521.5719883157858
2025-02-08 08:16:40,60000,27,B+1.0,568.8356815222638,537.5719883157858
2025-02-08 08:24:23,61000,27,B+1.0,584.8356815222638,553.5719883157858
2025-02-08 08:31:35,62000,21,B+1.0,600.8356815222638,569.5719883157858
2025-02-08 08:39:24,63000,35,B+1.0,616.8356815222638,585.5719883157858
2025-02-08 08:46:30,64000,11,B+1.0,632.8356815222638,601.5719883157858
2025-02-08 08:54:16,65000,36,W+1.0,617.5719883157858,648.8356815222638
2025-02-08 09:02:09,66000,46,W+1.0,602.3082951093078,633.5719883157858
2025-02-08 09:09:27,67000,35,B+1.0,618.3082951093078,587.0446019028298
2025-02-08 09:17:15,68000,44,W+1.0,603.0446019028298,634.3082951093078
2025-02-08 09:24:55,69000,23,B+1.0,619.0446019028298,587.7809086963517
