datetime,game_length,game_result,time_per_game,training_steps
2025-02-07 23:14:44,21,B+1.0,4.8144,0
2025-02-07 23:14:57,49,B+1.0,8.898,0
2025-02-07 23:15:06,33,B+1.0,9.0325,0
2025-02-07 23:15:15,35,B+1.0,8.9436,0
2025-02-07 23:15:26,41,B+1.0,9.4483,0
2025-02-07 23:15:33,23,B+1.0,8.9515,0
2025-02-07 23:15:42,33,B+1.0,9.0086,0
2025-02-07 23:15:52,36,W+1.0,9.0452,0
2025-02-07 23:16:00,31,B+1.0,8.926,0
2025-02-07 23:16:07,31,B+1.0,8.8037,0
2025-02-07 23:16:15,34,W+1.0,8.7145,0
2025-02-07 23:16:25,35,B+1.0,8.8213,0
2025-02-07 23:16:31,25,B+1.0,8.5667,0
2025-02-07 23:16:37,25,B+1.0,8.3908,0
2025-02-07 23:16:44,29,B+1.0,8.3349,0
2025-02-07 23:16:52,29,B+1.0,8.2893,0
2025-02-07 23:17:00,34,W+1.0,8.2804,0
2025-02-07 23:17:08,38,W+1.0,8.2911,0
2025-02-07 23:17:16,28,W+1.0,8.2659,0
2025-02-07 23:17:28,39,B+1.0,8.4456,0
2025-02-07 23:17:39,42,W+1.0,8.5558,0
2025-02-07 23:17:48,32,W+1.0,8.5946,0
2025-02-07 23:17:57,37,B+1.0,8.6036,0
2025-02-07 23:18:04,20,W+1.0,8.5416,0
2025-02-07 23:18:24,49,B+1.0,8.9845,0
2025-02-07 23:18:34,36,W+1.0,9.0282,0
2025-02-07 23:18:39,16,W+1.0,8.8631,0
2025-02-07 23:18:44,21,B+1.0,8.743,0
2025-02-07 23:18:56,42,W+1.0,8.8625,0
2025-02-07 23:19:04,31,B+1.0,8.8326,0
2025-02-07 23:19:12,26,W+1.0,8.8054,0
2025-02-07 23:19:21,23,B+1.0,8.8091,0
2025-02-07 23:19:42,49,B+1.0,9.1698,0
2025-02-07 23:19:54,31,B+1.0,9.2502,0
2025-02-07 23:20:02,24,W+1.0,9.217,0
2025-02-07 23:20:13,33,B+1.0,9.2729,0
2025-02-07 23:20:23,32,W+1.0,9.3037,0
2025-02-07 23:20:38,38,W+1.0,9.4507,0
2025-02-07 23:20:56,47,B+1.0,9.6697,0
2025-02-07 23:21:05,31,B+1.0,9.6311,0
2025-02-07 23:21:16,39,B+1.0,9.6776,0
2025-02-07 23:21:19,14,W+1.0,9.527,0
2025-02-07 23:21:24,18,W+1.0,9.409,0
2025-02-07 23:21:32,35,B+1.0,9.3916,0
2025-02-07 23:21:42,35,B+1.0,9.3982,0
2025-02-07 23:21:50,29,B+1.0,9.3584,0
2025-02-07 23:22:01,40,W+1.0,9.4025,0
