datetime,training_steps,policy_loss,value_loss,learning_rate,total_games,total_samples
2025-02-07 23:40:38,200,4.394465923309326,0.988877534866333,0.01,5000,168371
2025-02-07 23:40:42,400,4.3901872634887695,0.9878394603729248,0.01,5000,168371
2025-02-07 23:40:45,600,4.3902974128723145,0.9640514850616455,0.01,5000,168371
2025-02-07 23:40:48,800,4.392498970031738,0.9148845076560974,0.01,5000,168371
2025-02-07 23:40:52,1000,4.392118453979492,0.9606882929801941,0.01,5000,168371
2025-02-08 00:05:18,1200,4.381984710693359,0.9736655950546265,0.01,10000,312381
2025-02-08 00:05:21,1400,4.364036560058594,0.896094799041748,0.01,10000,312381
2025-02-08 00:05:25,1600,4.368043899536133,0.9481801986694336,0.01,10000,312381
2025-02-08 00:05:28,1800,4.3707380294799805,0.8869531750679016,0.01,10000,312381
2025-02-08 00:05:31,2000,4.369565010070801,0.9603428840637207,0.01,10000,312381
2025-02-08 00:26:25,2200,4.315914154052734,0.8859028816223145,0.01,15000,441836
2025-02-08 00:26:28,2400,4.262477874755859,0.8878298401832581,0.01,15000,441836
2025-02-08 00:26:32,2600,4.311422824859619,0.8682657480239868,0.01,15000,441836
2025-02-08 00:26:35,2800,4.249577522277832,0.9595399498939514,0.01,15000,441836
2025-02-08 00:26:39,3000,4.269498348236084,0.8997169137001038,0.01,15000,441836
2025-02-08 00:45:40,3200,4.159506797790527,0.8395843505859375,0.01,20000,563652
2025-02-08 00:45:43,3400,4.124783515930176,0.8450359106063843,0.01,20000,563652
2025-02-08 00:45:47,3600,4.052912712097168,0.8005454540252686,0.01,20000,563652
2025-02-08 00:45:50,3800,4.074263095855713,0.8146867752075195,0.01,20000,563652
2025-02-08 00:45:54,4000,4.196850776672363,0.861034631729126,0.01,20000,563652
2025-02-08 01:02:58,4200,3.9838993549346924,0.8507769107818604,0.01,25000,672810
2025-02-08 01:03:01,4400,3.911456346511841,0.8355627655982971,0.01,25000,672810
2025-02-08 01:03:05,4600,3.8444840908050537,0.7942164540290833,0.01,25000,672810
2025-02-08 01:03:08,4800,3.7766590118408203,0.7433441281318665,0.01,25000,672810
2025-02-08 01:03:12,5000,3.9332215785980225,0.8064432144165039,0.01,25000,672810
2025-02-08 01:19:08,5200,3.7972536087036133,0.7778130769729614,0.01,30000,775058
2025-02-08 01:19:11,5400,3.790557861328125,0.8677009344100952,0.01,30000,775058
2025-02-08 01:19:15,5600,3.7532811164855957,0.8304675817489624,0.01,30000,775058
2025-02-08 01:19:18,5800,3.7321057319641113,0.7385134696960449,0.01,30000,775058
2025-02-08 01:19:22,6000,3.679216146469116,0.7927430868148804,0.01,30000,775058
2025-02-08 01:34:00,6200,3.5415449142456055,0.7516307830810547,0.01,35000,871447
2025-02-08 01:34:04,6400,3.510359764099121,0.7080424427986145,0.01,35000,871447
2025-02-08 01:34:07,6600,3.527817726135254,0.8027330636978149,0.01,35000,871447
2025-02-08 01:34:11,6800,3.6127586364746094,0.8195637464523315,0.01,35000,871447
2025-02-08 01:34:14,7000,3.487560749053955,0.7204751968383789,0.01,35000,871447
2025-02-08 01:47:53,7200,3.5174455642700195,0.7133767604827881,0.01,40000,962862
2025-02-08 01:47:57,7400,3.5987460613250732,0.7589276432991028,0.01,40000,962862
2025-02-08 01:48:00,7600,3.6255340576171875,0.7769248485565186,0.01,40000,962862
2025-02-08 01:48:04,7800,3.622985363006592,0.745891809463501,0.01,40000,962862
2025-02-08 01:48:07,8000,3.467975616455078,0.7334581613540649,0.01,40000,962862
2025-02-08 02:01:20,8200,3.483567953109741,0.6542363166809082,0.01,45000,1050987
2025-02-08 02:01:24,8400,3.4441494941711426,0.731522262096405,0.01,45000,1050987
2025-02-08 02:01:27,8600,3.5762104988098145,0.7830202579498291,0.01,45000,1050987
2025-02-08 02:01:31,8800,3.5592262744903564,0.7046890258789062,0.01,45000,1050987
2025-02-08 02:01:34,9000,3.528062343597412,0.6696497201919556,0.01,45000,1050987
2025-02-08 02:12:47,9200,3.430734157562256,0.7805266380310059,0.01,50000,1127521
2025-02-08 02:12:50,9400,3.5210766792297363,0.7412463426589966,0.01,50000,1127521
2025-02-08 02:12:53,9600,3.3551454544067383,0.697313666343689,0.01,50000,1127521
2025-02-08 02:12:57,9800,3.418431282043457,0.7615255117416382,0.01,50000,1127521
2025-02-08 02:13:00,10000,3.445453405380249,0.7132930755615234,0.01,50000,1127521
