datetime,game_length,game_result,time_per_game,training_steps
2025-02-07 23:14:48,21,B+1.0,6.3094,0
2025-02-07 23:14:52,20,W+1.0,5.4804,0
2025-02-07 23:15:04,47,B+1.0,7.4005,0
2025-02-07 23:15:13,39,B+1.0,8.0207,0
2025-02-07 23:15:23,37,B+1.0,8.3857,0
2025-02-07 23:15:29,25,B+1.0,7.9598,0
2025-02-07 23:15:38,31,B+1.0,8.1009,0
2025-02-07 23:15:47,36,W+1.0,8.2373,0
2025-02-07 23:15:56,31,B+1.0,8.2744,0
2025-02-07 23:16:11,51,B+1.0,8.9207,0
2025-02-07 23:16:23,39,B+1.0,9.2465,0
2025-02-07 23:16:33,29,B+1.0,9.3064,0
2025-02-07 23:16:41,29,B+1.0,9.2252,0
2025-02-07 23:16:53,32,W+1.0,9.4005,0
2025-02-07 23:17:01,38,W+1.0,9.3147,0
2025-02-07 23:17:12,41,B+1.0,9.4084,0
2025-02-07 23:17:22,42,W+1.0,9.4482,0
2025-02-07 23:17:31,38,W+1.0,9.3999,0
2025-02-07 23:17:38,33,B+1.0,9.28,0
2025-02-07 23:17:48,48,W+1.0,9.3456,0
2025-02-07 23:17:57,35,B+1.0,9.2955,0
2025-02-07 23:18:05,35,B+1.0,9.2612,0
2025-02-07 23:18:10,21,B+1.0,9.0573,0
2025-02-07 23:18:18,36,W+1.0,9.0239,0
2025-02-07 23:18:27,39,B+1.0,9.0383,0
2025-02-07 23:18:34,29,B+1.0,8.9371,0
2025-02-07 23:18:41,30,W+1.0,8.8594,0
2025-02-07 23:18:51,44,W+1.0,8.9051,0
2025-02-07 23:19:00,42,W+1.0,8.9265,0
2025-02-07 23:19:09,36,W+1.0,8.9201,0
2025-02-07 23:19:16,37,B+1.0,8.864,0
2025-02-07 23:19:22,27,B+1.0,8.7783,0
2025-02-07 23:19:33,48,W+1.0,8.8515,0
2025-02-07 23:19:41,35,B+1.0,8.8153,0
2025-02-07 23:19:47,29,B+1.0,8.7403,0
2025-02-07 23:19:58,46,W+1.0,8.7916,0
2025-02-07 23:20:07,35,B+1.0,8.7947,0
2025-02-07 23:20:15,34,W+1.0,8.7783,0
2025-02-07 23:20:20,22,W+1.0,8.6935,0
2025-02-07 23:20:25,22,W+1.0,8.5963,0
2025-02-07 23:20:30,24,W+1.0,8.5135,0
2025-02-07 23:20:37,29,B+1.0,8.4777,0
2025-02-07 23:20:45,30,W+1.0,8.4469,0
2025-02-07 23:20:51,26,W+1.0,8.4025,0
2025-02-07 23:20:59,40,W+1.0,8.4013,0
2025-02-07 23:21:11,44,W+1.0,8.4683,0
2025-02-07 23:21:17,31,B+1.0,8.4238,0
2025-02-07 23:21:26,36,W+1.0,8.4224,0
2025-02-07 23:21:32,24,W+1.0,8.3713,0
2025-02-07 23:21:41,40,W+1.0,8.3996,0
2025-02-07 23:21:48,30,W+1.0,8.3712,0
2025-02-07 23:21:58,42,W+1.0,8.3997,0
